Link,ID,Title,Location
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49633318,49633318,기획연구 및 python 활용 빅데이터 분석,서울 강서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49686247,49686247,"[코스닥상장사] 전문연구요원(병역특례)모집 Linux,Python,C",서울 금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49550993,49550993,국가연구과제 개발자 모집(Python/Pytorch/API/JAVA/React),서울 강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49602559,49602559,5년차이상 파이썬 개발자 모집 (AI 경력자 우대),서울 영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49326427,49326427,[(주)도로시] QGIS 플러그인 파이썬(Python) 개발자 모집,서울 금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49551891,49551891,"PC 제어프로그래머 (C, C++, C#, Python)",경기 안양시 동안구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49526974,49526974,Back-End Engineer (Python/Django),서울 마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49624424,49624424,"C#,C++,Python 프로그래머 모집(판교)",경기 성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49555065,49555065,Python Back-end Engineer,서울 강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49666351,49666351,[IT 솔루션 및 통합서비스 전문기업] 파이썬(Python) 개발자,서울 강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49536040,49536040,[인천 송도 근무] 파이썬 개발자 사원 채용,인천 연수구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49677035,49677035,[파운트/핀테크] 백엔드 개발자(Python/리드급),서울 중구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49613941,49613941,"웹개발자(Python, DJango)",서울 성동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49623138,49623138,"Java, Python 개발 인력 채용 (경력 5년 이상)",서울 송파구
